order_id,order_date,ship_date,ship_mode,customer_id,segment,region,category,sub_category,sales,quantity,discount,profit
CMD-2024-10000,2024-04-12,2024-04-17,Same Day,CUST-795,Corporate,Hauts-de-France,Technology,Copiers,121.96,7,0.5,-14.13
CMD-2024-10001,2025-03-11,2025-03-15,Standard Class,CUST-117,Home Office,Hauts-de-France,Office Supplies,Art,413.37,7,0.0,139.05
CMD-2024-10002,2024-09-27,2024-09-28,Same Day,CUST-515,Corporate,Auvergne-Rhône-Alpes,Office Supplies,Envelopes,673.86,7,0.1,49.84
CMD-2024-10003,2024-04-16,2024-04-17,Same Day,CUST-659,Home Office,Occitanie,Furniture,Furnishings,375.37,6,0.0,124.75
CMD-2024-10004,2024-03-12,2024-03-17,First Class,CUST-640,Home Office,Occitanie,Technology,Machines,119.3,8,0.1,20.56
CMD-2024-10005,2025-12-01,2025-12-05,Same Day,CUST-252,Home Office,Nouvelle-Aquitaine,Furniture,Bookcases,356.97,6,0.0,133.59
CMD-2024-10006,2024-01-21,2024-01-26,Same Day,CUST-431,Corporate,Auvergne-Rhône-Alpes,Office Supplies,Envelopes,110.26,3,0.0,43.27
CMD-2024-10007,2025-09-06,2025-09-08,Same Day,CUST-418,Corporate,Île-de-France,Technology,Phones,55.23,3,0.0,17.43
CMD-2024-10008,2024-05-01,2024-05-03,Same Day,CUST-298,Home Office,Auvergne-Rhône-Alpes,Technology,Copiers,22.47,8,0.7,-10.77
CMD-2024-10009,2025-04-11,2025-04-13,First Class,CUST-625,Consumer,Île-de-France,Technology,Accessories,122.21,2,0.1,30.66
CMD-2024-10010,2024-08-02,2024-08-03,Second Class,CUST-109,Home Office,Occitanie,Technology,Phones,529.54,3,0.1,150.74
CMD-2024-10011,2024-11-26,2024-12-01,Same Day,CUST-238,Home Office,Auvergne-Rhône-Alpes,Office Supplies,Envelopes,75.08,1,0.0,16.87
CMD-2024-10012,2025-04-03,2025-04-04,Second Class,CUST-266,Home Office,Nouvelle-Aquitaine,Furniture,Bookcases,65.89,1,0.1,13.14
CMD-2024-10013,2024-03-28,2024-03-30,Standard Class,CUST-246,Consumer,Hauts-de-France,Office Supplies,Binders,785.13,7,0.0,345.24
CMD-2024-10014,2025-01-07,2025-01-11,Standard Class,CUST-502,Corporate,Île-de-France,Furniture,Furnishings,20.57,5,0.0,4.93
CMD-2024-10015,2024-04-09,2024-04-13,Second Class,CUST-544,Corporate,Hauts-de-France,Office Supplies,Binders,353.97,4,0.1,44.94
CMD-2024-10016,2025-10-25,2025-10-30,Second Class,CUST-169,Home Office,Occitanie,Technology,Copiers,100.29,3,0.0,21.39
CMD-2024-10017,2024-05-10,2024-05-14,Standard Class,CUST-427,Home Office,Occitanie,Furniture,Furnishings,23.41,2,0.0,7.44
CMD-2024-10018,2025-10-23,2025-10-25,First Class,CUST-715,Corporate,Occitanie,Technology,Copiers,564.7,7,0.1,194.79
CMD-2024-10019,2024-11-04,2024-11-09,First Class,CUST-328,Home Office,Hauts-de-France,Technology,Copiers,48.09,8,0.3,3.01
CMD-2024-10020,2024-12-09,2024-12-14,Same Day,CUST-749,Corporate,Occitanie,Furniture,Chairs,191.54,6,0.0,46.16
CMD-2024-10021,2025-05-06,2025-05-08,First Class,CUST-418,Consumer,Occitanie,Office Supplies,Storage,85.46,8,0.0,29.19
CMD-2024-10022,2025-02-17,2025-02-19,First Class,CUST-135,Home Office,Hauts-de-France,Office Supplies,Envelopes,29.83,1,0.0,10.07
CMD-2024-10023,2025-01-20,2025-01-22,Same Day,CUST-729,Corporate,Occitanie,Technology,Machines,26.27,1,0.7,-7.91
