order_id,returned,return_reason
CMD-2024-10604,Yes,Late Delivery
CMD-2024-13829,Yes,Wrong Item
CMD-2024-10414,Yes,Defective
CMD-2024-10729,Yes,Defective
CMD-2024-12552,Yes,Customer Preference
CMD-2024-11888,Yes,Defective
CMD-2024-13700,Yes,Wrong Item
CMD-2024-11701,Yes,Customer Preference
CMD-2024-12397,Yes,Customer Preference
CMD-2024-11183,Yes,Late Delivery
CMD-2024-11846,Yes,Wrong Item
CMD-2024-12824,Yes,Late Delivery
CMD-2024-13603,Yes,Customer Preference
CMD-2024-10833,Yes,Late Delivery
CMD-2024-13830,Yes,Wrong Item
CMD-2024-13309,Yes,Late Delivery
CMD-2024-11384,Yes,Customer Preference
CMD-2024-12938,Yes,Late Delivery
CMD-2024-10834,Yes,Customer Preference
CMD-2024-11490,Yes,Customer Preference
CMD-2024-12220,Yes,Late Delivery
CMD-2024-13598,Yes,Defective
CMD-2024-12405,Yes,Wrong Item
CMD-2024-13725,Yes,Customer Preference
CMD-2024-10537,Yes,Defective
CMD-2024-13405,Yes,Wrong Item
CMD-2024-13261,Yes,Defective
CMD-2024-13748,Yes,Late Delivery
CMD-2024-13242,Yes,Customer Preference
CMD-2024-13796,Yes,Defective
CMD-2024-11740,Yes,Defective
CMD-2024-13307,Yes,Wrong Item
CMD-2024-12524,Yes,Wrong Item
CMD-2024-14331,Yes,Customer Preference
CMD-2024-10854,Yes,Defective
CMD-2024-13121,Yes,Customer Preference
CMD-2024-12384,Yes,Wrong Item
CMD-2024-11278,Yes,Customer Preference
CMD-2024-10879,Yes,Late Delivery
CMD-2024-11385,Yes,Customer Preference
CMD-2024-12503,Yes,Late Delivery
CMD-2024-12369,Yes,Customer Preference
CMD-2024-11907,Yes,Customer Preference
CMD-2024-13632,Yes,Late Delivery
CMD-2024-13133,Yes,Wrong Item
CMD-2024-10442,Yes,Customer Preference
CMD-2024-14903,Yes,Wrong Item
CMD-2024-14785,Yes,Defective
CMD-2024-11101,Yes,Wrong Item
CMD-2024-13027,Yes,Defective
CMD-2024-13224,Yes,Wrong Item
CMD-2024-12320,Yes,Wrong Item
CMD-2024-13291,Yes,Defective
CMD-2024-12686,Yes,Late Delivery
CMD-2024-10350,Yes,Wrong Item
CMD-2024-12611,Yes,Defective
CMD-2024-13470,Yes,Wrong Item
CMD-2024-10340,Yes,Wrong Item
CMD-2024-14964,Yes,Wrong Item
CMD-2024-12823,Yes,Wrong Item
CMD-2024-12681,Yes,Customer Preference
CMD-2024-10019,Yes,Wrong Item
CMD-2024-10492,Yes,Defective
CMD-2024-12212,Yes,Wrong Item
CMD-2024-13205,Yes,Defective
CMD-2024-11642,Yes,Defective
CMD-2024-10135,Yes,Late Delivery
CMD-2024-14213,Yes,Defective
CMD-2024-10974,Yes,Defective
CMD-2024-10799,Yes,Late Delivery
CMD-2024-13595,Yes,Wrong Item
CMD-2024-12055,Yes,Customer Preference
CMD-2024-10686,Yes,Late Delivery
CMD-2024-10460,Yes,Customer Preference
CMD-2024-13345,Yes,Wrong Item
CMD-2024-11896,Yes,Wrong Item
CMD-2024-12638,Yes,Customer Preference
CMD-2024-12197,Yes,Customer Preference
CMD-2024-10898,Yes,Defective
CMD-2024-10530,Yes,Wrong Item
CMD-2024-11491,Yes,Late Delivery
CMD-2024-14326,Yes,Late Delivery
CMD-2024-12958,Yes,Wrong Item
CMD-2024-11138,Yes,Customer Preference
CMD-2024-10988,Yes,Customer Preference
CMD-2024-14497,Yes,Late Delivery
CMD-2024-13977,Yes,Customer Preference
CMD-2024-13569,Yes,Late Delivery
CMD-2024-14369,Yes,Defective
CMD-2024-12668,Yes,Defective
CMD-2024-10111,Yes,Defective
CMD-2024-14593,Yes,Wrong Item
CMD-2024-10176,Yes,Customer Preference
CMD-2024-12163,Yes,Defective
CMD-2024-11942,Yes,Late Delivery
CMD-2024-14720,Yes,Defective
CMD-2024-14490,Yes,Customer Preference
CMD-2024-13671,Yes,Late Delivery
CMD-2024-14910,Yes,Defective
CMD-2024-14126,Yes,Customer Preference
CMD-2024-14621,Yes,Late Delivery
CMD-2024-14452,Yes,Defective
CMD-2024-13770,Yes,Defective
CMD-2024-14264,Yes,Customer Preference
CMD-2024-14662,Yes,Defective
CMD-2024-12874,Yes,Customer Preference
CMD-2024-14612,Yes,Defective
CMD-2024-10085,Yes,Late Delivery
CMD-2024-13388,Yes,Defective
CMD-2024-10127,Yes,Wrong Item
CMD-2024-10193,Yes,Defective
CMD-2024-10526,Yes,Customer Preference
CMD-2024-11503,Yes,Defective
CMD-2024-14645,Yes,Wrong Item
CMD-2024-14753,Yes,Late Delivery
CMD-2024-11026,Yes,Wrong Item
CMD-2024-14870,Yes,Late Delivery
CMD-2024-13896,Yes,Wrong Item
CMD-2024-11620,Yes,Wrong Item
CMD-2024-14691,Yes,Wrong Item
CMD-2024-10814,Yes,Late Delivery
CMD-2024-10116,Yes,Defective
CMD-2024-12228,Yes,Customer Preference
CMD-2024-14307,Yes,Defective
CMD-2024-12547,Yes,Wrong Item
CMD-2024-12802,Yes,Late Delivery
CMD-2024-14414,Yes,Late Delivery
CMD-2024-13790,Yes,Defective
CMD-2024-14589,Yes,Late Delivery
CMD-2024-13050,Yes,Late Delivery
CMD-2024-13912,Yes,Wrong Item
CMD-2024-12846,Yes,Late Delivery
CMD-2024-10498,Yes,Late Delivery
CMD-2024-12498,Yes,Wrong Item
CMD-2024-10496,Yes,Defective
CMD-2024-12086,Yes,Customer Preference
CMD-2024-13542,Yes,Customer Preference
CMD-2024-13566,Yes,Customer Preference
CMD-2024-13319,Yes,Defective
CMD-2024-11210,Yes,Late Delivery
CMD-2024-11771,Yes,Wrong Item
CMD-2024-13771,Yes,Defective
CMD-2024-13296,Yes,Customer Preference
CMD-2024-13255,Yes,Late Delivery
CMD-2024-14135,Yes,Customer Preference
CMD-2024-12684,Yes,Customer Preference
CMD-2024-10021,Yes,Customer Preference
CMD-2024-12243,Yes,Defective
CMD-2024-10622,Yes,Late Delivery
CMD-2024-11758,Yes,Customer Preference
CMD-2024-10811,Yes,Defective
CMD-2024-12947,Yes,Wrong Item
CMD-2024-13179,Yes,Wrong Item
CMD-2024-10939,Yes,Defective
CMD-2024-13701,Yes,Wrong Item
CMD-2024-11275,Yes,Customer Preference
CMD-2024-10586,Yes,Defective
CMD-2024-12208,Yes,Defective
CMD-2024-13007,Yes,Wrong Item
CMD-2024-14810,Yes,Late Delivery
CMD-2024-13743,Yes,Wrong Item
CMD-2024-12949,Yes,Customer Preference
CMD-2024-11199,Yes,Late Delivery
CMD-2024-14521,Yes,Late Delivery
CMD-2024-10501,Yes,Customer Preference
CMD-2024-11977,Yes,Late Delivery
CMD-2024-10274,Yes,Defective
CMD-2024-13918,Yes,Late Delivery
CMD-2024-10233,Yes,Late Delivery
CMD-2024-12213,Yes,Wrong Item
CMD-2024-13488,Yes,Defective
CMD-2024-14150,Yes,Customer Preference
CMD-2024-12582,Yes,Defective
CMD-2024-11436,Yes,Late Delivery
CMD-2024-12473,Yes,Wrong Item
CMD-2024-12196,Yes,Customer Preference
CMD-2024-10075,Yes,Customer Preference
CMD-2024-14320,Yes,Late Delivery
CMD-2024-14857,Yes,Defective
CMD-2024-12787,Yes,Wrong Item
CMD-2024-10559,Yes,Defective
CMD-2024-14811,Yes,Defective
CMD-2024-11709,Yes,Customer Preference
CMD-2024-12190,Yes,Defective
CMD-2024-14234,Yes,Defective
CMD-2024-10835,Yes,Customer Preference
CMD-2024-11363,Yes,Customer Preference
CMD-2024-11877,Yes,Defective
CMD-2024-10840,Yes,Customer Preference
CMD-2024-12378,Yes,Wrong Item
CMD-2024-10241,Yes,Wrong Item
CMD-2024-14114,Yes,Defective
CMD-2024-14813,Yes,Late Delivery
CMD-2024-10136,Yes,Customer Preference
CMD-2024-14900,Yes,Late Delivery
CMD-2024-13079,Yes,Customer Preference
CMD-2024-14976,Yes,Customer Preference
CMD-2024-12116,Yes,Defective
CMD-2024-10538,Yes,Wrong Item
CMD-2024-12054,Yes,Late Delivery
CMD-2024-10429,Yes,Wrong Item
CMD-2024-11141,Yes,Wrong Item
CMD-2024-14934,Yes,Late Delivery
CMD-2024-10325,Yes,Customer Preference
CMD-2024-11585,Yes,Late Delivery
CMD-2024-12985,Yes,Wrong Item
CMD-2024-11838,Yes,Late Delivery
CMD-2024-11342,Yes,Defective
CMD-2024-11845,Yes,Customer Preference
CMD-2024-12077,Yes,Customer Preference
CMD-2024-13267,Yes,Late Delivery
CMD-2024-14975,Yes,Customer Preference
CMD-2024-12682,Yes,Customer Preference
CMD-2024-10672,Yes,Wrong Item
CMD-2024-12873,Yes,Wrong Item
CMD-2024-13639,Yes,Customer Preference
CMD-2024-10304,Yes,Customer Preference
CMD-2024-11421,Yes,Wrong Item
CMD-2024-12450,Yes,Customer Preference
CMD-2024-10702,Yes,Customer Preference
CMD-2024-13968,Yes,Wrong Item
CMD-2024-10926,Yes,Wrong Item
CMD-2024-12160,Yes,Wrong Item
CMD-2024-13909,Yes,Defective
CMD-2024-14352,Yes,Wrong Item
CMD-2024-14388,Yes,Customer Preference
CMD-2024-10238,Yes,Wrong Item
CMD-2024-10128,Yes,Defective
CMD-2024-13765,Yes,Wrong Item
CMD-2024-14705,Yes,Wrong Item
CMD-2024-11207,Yes,Defective
CMD-2024-10342,Yes,Late Delivery
CMD-2024-10039,Yes,Late Delivery
CMD-2024-10985,Yes,Wrong Item
CMD-2024-13892,Yes,Late Delivery
CMD-2024-14423,Yes,Late Delivery
CMD-2024-12217,Yes,Customer Preference
CMD-2024-13534,Yes,Customer Preference
CMD-2024-12480,Yes,Customer Preference
CMD-2024-14031,Yes,Defective
CMD-2024-10624,Yes,Late Delivery
CMD-2024-13315,Yes,Wrong Item
CMD-2024-11840,Yes,Defective
CMD-2024-13775,Yes,Late Delivery
CMD-2024-11554,Yes,Wrong Item
CMD-2024-11781,Yes,Defective
CMD-2024-13544,Yes,Customer Preference
CMD-2024-13917,Yes,Wrong Item
CMD-2024-12715,Yes,Customer Preference
CMD-2024-11694,Yes,Late Delivery
CMD-2024-14393,Yes,Wrong Item
CMD-2024-12191,Yes,Customer Preference
CMD-2024-14767,Yes,Customer Preference
CMD-2024-13735,Yes,Late Delivery
CMD-2024-11857,Yes,Late Delivery
CMD-2024-13433,Yes,Late Delivery
CMD-2024-14455,Yes,Late Delivery
CMD-2024-13085,Yes,Late Delivery
CMD-2024-10088,Yes,Defective
CMD-2024-13779,Yes,Customer Preference
CMD-2024-11597,Yes,Late Delivery
CMD-2024-12880,Yes,Customer Preference
CMD-2024-14704,Yes,Defective
CMD-2024-11094,Yes,Wrong Item
CMD-2024-11114,Yes,Customer Preference
CMD-2024-10456,Yes,Customer Preference
CMD-2024-13262,Yes,Customer Preference
CMD-2024-11604,Yes,Wrong Item
CMD-2024-14200,Yes,Defective
CMD-2024-13586,Yes,Customer Preference
CMD-2024-13605,Yes,Defective
CMD-2024-11104,Yes,Customer Preference
CMD-2024-12095,Yes,Customer Preference
CMD-2024-13451,Yes,Customer Preference
CMD-2024-11474,Yes,Wrong Item
CMD-2024-12825,Yes,Defective
CMD-2024-11056,Yes,Defective
CMD-2024-14407,Yes,Late Delivery
CMD-2024-11260,Yes,Customer Preference
CMD-2024-12175,Yes,Wrong Item
CMD-2024-10388,Yes,Customer Preference
CMD-2024-12993,Yes,Defective
CMD-2024-14984,Yes,Defective
CMD-2024-10151,Yes,Customer Preference
CMD-2024-10030,Yes,Defective
CMD-2024-14686,Yes,Customer Preference
CMD-2024-12885,Yes,Customer Preference
CMD-2024-11016,Yes,Late Delivery
CMD-2024-13462,Yes,Wrong Item
CMD-2024-11408,Yes,Wrong Item
CMD-2024-13709,Yes,Defective
CMD-2024-14940,Yes,Defective
CMD-2024-11317,Yes,Late Delivery
CMD-2024-10639,Yes,Defective
CMD-2024-14675,Yes,Defective
CMD-2024-11829,Yes,Customer Preference
CMD-2024-12554,Yes,Late Delivery
CMD-2024-12506,Yes,Customer Preference
CMD-2024-11841,Yes,Customer Preference
CMD-2024-12264,Yes,Defective
CMD-2024-11129,Yes,Customer Preference
CMD-2024-10050,Yes,Wrong Item
CMD-2024-12329,Yes,Wrong Item
CMD-2024-10168,Yes,Wrong Item
CMD-2024-13496,Yes,Late Delivery
CMD-2024-13094,Yes,Late Delivery
CMD-2024-13111,Yes,Wrong Item
CMD-2024-10580,Yes,Wrong Item
CMD-2024-14814,Yes,Customer Preference
CMD-2024-12070,Yes,Late Delivery
CMD-2024-13495,Yes,Defective
CMD-2024-13093,Yes,Defective
CMD-2024-12491,Yes,Late Delivery
CMD-2024-10977,Yes,Customer Preference
CMD-2024-13651,Yes,Wrong Item
CMD-2024-12042,Yes,Customer Preference
CMD-2024-12900,Yes,Customer Preference
CMD-2024-12300,Yes,Late Delivery
CMD-2024-14701,Yes,Wrong Item
CMD-2024-13944,Yes,Late Delivery
CMD-2024-11391,Yes,Late Delivery
CMD-2024-14267,Yes,Customer Preference
CMD-2024-14729,Yes,Late Delivery
CMD-2024-12306,Yes,Late Delivery
CMD-2024-14118,Yes,Late Delivery
CMD-2024-14773,Yes,Late Delivery
CMD-2024-13899,Yes,Customer Preference
CMD-2024-14401,Yes,Wrong Item
CMD-2024-11125,Yes,Wrong Item
CMD-2024-13654,Yes,Customer Preference
CMD-2024-12376,Yes,Defective
CMD-2024-12633,Yes,Late Delivery
CMD-2024-10699,Yes,Customer Preference
CMD-2024-11035,Yes,Defective
CMD-2024-13640,Yes,Defective
CMD-2024-13870,Yes,Late Delivery
CMD-2024-10721,Yes,Customer Preference
CMD-2024-14292,Yes,Late Delivery
